,bus,element,closed,from_ppci,to_ppci
364,1822,3777,True,1822,3777
365,1378,604,False,1378,604
366,3184,3416,False,3184,3416
367,738,604,False,738,604
368,3603,164,True,3603,164
369,546,2111,True,546,2111
370,1962,1837,False,1962,1837
371,2551,956,True,2551,956
372,2455,1592,False,2455,1592
373,3538,2378,True,3538,2378
374,3121,3753,False,3121,3753
375,1203,727,False,1203,727
376,86,1068,True,86,1068
377,2652,3552,True,2652,3552
378,1415,2294,True,1415,2294
379,1968,3392,True,1968,3392
380,2468,3394,True,2468,3394
381,315,42,True,315,42
382,3262,1806,True,3262,1806
383,1045,2083,True,1045,2083
384,2854,2232,True,2854,2232
385,1567,1575,True,1567,1575
386,1101,2143,True,1101,2143
387,1348,1034,True,1348,1034
388,1951,3730,False,1951,3730
389,1969,3108,True,1969,3108
390,1667,2962,True,1667,2962
391,2794,2828,True,2794,2828
392,401,2208,True,401,2208
393,790,1053,True,790,1053
394,2924,3443,False,2924,3443
395,1825,2614,True,1825,2614
396,3337,567,False,3337,567
397,194,3130,True,194,3130
398,153,1882,True,153,1882
399,374,1312,True,374,1312
400,3294,1559,True,3294,1559
401,3080,2138,False,3080,2138
402,1107,1399,True,1107,1399
403,2837,553,True,2837,553
404,779,3452,False,779,3452
405,3770,3089,True,3770,3089
406,1066,885,True,1066,885
407,777,1109,True,777,1109
408,3686,999,True,3686,999
409,2238,3690,False,2238,3690
410,2497,1221,True,2497,1221
411,1775,2953,True,1775,2953
412,3591,648,False,3591,648
413,937,3383,True,937,3383
414,3292,2692,False,3292,2692
415,1689,25,True,1689,25
416,867,1849,True,867,1849
417,1692,1826,True,1692,1826
418,3364,755,True,3364,755
419,3145,309,True,3145,309
420,3720,3375,False,3720,3375
421,3449,3730,False,3449,3730
422,2974,142,True,2974,142
423,849,659,True,849,659
424,175,2331,True,175,2331
425,1612,875,True,1612,875
426,462,1397,False,462,1397
427,1946,2060,True,1946,2060
428,208,1296,True,208,1296
429,3322,2202,True,3322,2202
430,673,1229,True,673,1229
431,3262,2833,True,3262,2833
432,2788,1533,True,2788,1533
433,3023,3222,False,3023,3222
434,978,1839,True,978,1839
435,491,2840,True,491,2840
436,1340,1680,True,1340,1680
437,2591,3274,True,2591,3274
438,1245,1025,True,1245,1025
439,3368,2156,False,3368,2156
440,2030,683,True,2030,683
441,2308,1765,True,2308,1765
442,2626,2072,True,2626,2072
443,1279,2634,True,1279,2634
444,478,724,False,478,724
445,784,1943,True,784,1943
446,1299,2309,True,1299,2309
447,2929,2326,False,2929,2326
448,2226,1915,True,2226,1915
449,2557,3254,False,2557,3254
450,1743,2382,True,1743,2382
451,2081,415,True,2081,415
452,899,2182,True,899,2182
453,1659,705,False,1659,705
454,951,3006,True,951,3006
455,2947,3151,True,2947,3151
456,265,975,True,265,975
457,1927,3002,False,1927,3002
458,3183,1721,True,3183,1721
459,1849,2595,False,1849,2595
460,3493,2111,False,3493,2111
461,3682,468,True,3682,468
462,3371,1995,False,3371,1995
463,2395,3605,True,2395,3605
464,1094,1166,True,1094,1166
465,1804,3229,True,1804,3229
466,2162,2408,False,2162,2408
467,1264,2313,True,1264,2313
468,2003,1971,False,2003,1971
469,476,516,True,476,516
470,1623,1443,True,1623,1443
471,1646,2435,True,1646,2435
472,1619,65,True,1619,65
473,2382,3367,False,2382,3367
474,2429,1517,True,2429,1517
475,2919,706,True,2919,706
476,2991,1209,True,2991,1209
477,193,1015,True,193,1015
478,3508,1934,False,3508,1934
479,3618,319,True,3618,319
480,2788,469,True,2788,469
481,2415,3327,True,2415,3327
482,1194,954,True,1194,954
483,947,1198,True,947,1198
484,2809,2126,True,2809,2126
485,3483,1416,True,3483,1416
486,626,577,True,626,577
487,2220,2747,True,2220,2747
488,2592,1693,True,2592,1693
489,695,2421,True,695,2421
490,2633,3639,True,2633,3639
491,1644,1082,True,1644,1082
492,2998,590,True,2998,590
493,2769,3599,True,2769,3599
494,3440,3765,False,3440,3765
495,3143,378,True,3143,378
496,680,3439,True,680,3439
497,3216,905,True,3216,905
498,1344,2965,False,1344,2965
499,3049,78,True,3049,78
500,474,2321,True,474,2321
501,3218,2536,False,3218,2536
502,1291,3770,False,1291,3770
503,2552,2915,True,2552,2915
504,262,1680,False,262,1680
505,2256,1238,True,2256,1238
506,3444,898,False,3444,898
507,3258,2400,True,3258,2400
508,1490,1239,True,1490,1239
509,3466,737,True,3466,737
510,3180,661,True,3180,661
511,85,2179,True,85,2179
512,1760,131,True,1760,131
513,255,1657,True,255,1657
514,2157,2151,True,2157,2151
515,1394,485,True,1394,485
516,2007,3296,False,2007,3296
517,3251,1705,True,3251,1705
518,604,2737,False,604,2737
519,2818,2856,True,2818,2856
520,304,2829,False,304,2829
521,915,3103,True,915,3103
522,2266,2955,False,2266,2955
523,227,2498,False,227,2498
524,2701,2556,True,2701,2556
525,3075,724,False,3075,724
526,3325,3730,False,3325,3730
527,3425,778,True,3425,778
528,1913,912,True,1913,912
529,1690,1311,False,1690,1311
530,3710,554,False,3710,554
531,270,2661,True,270,2661
532,1066,2112,True,1066,2112
533,1608,400,False,1608,400
534,1475,596,False,1475,596
535,724,3468,False,724,3468
536,844,528,True,844,528
537,3560,1909,False,3560,1909
538,3560,1273,True,3560,1273
539,798,3758,True,798,3758
540,1579,2982,True,1579,2982
541,828,3401,False,828,3401
