pp_idx,ppci_idx,name,vn_kv,isolated,sw_only
256,256,CNN_697S_E_2764_20,110.0,False,True
257,257,CNN_173A_E_24_44,110.0,False,True
258,258,CNN_339H_J_3336_7,6.0,False,True
259,259,CNN_62E_E_11932_5,110.0,False,False
260,260,CNN_62E_J_14179_40,20.0,False,True
261,261,CNN_490M_E_3329_1,110.0,False,False
262,262,CNN_734_E_18551_29,110.0,False,True
263,263,CNN_1311302224290284479216_E_103,110.0,False,True
264,264,CNN_F102NS_E_5501_22,110.0,False,True
265,265,CNN_64001.39s U6/1 gelb_E_2751_2,110.0,False,True
266,266,CNN_11351.32 E6 gelb_E_11_1,110.0,False,False
267,267,CNN_1311302212320143293524_E_335,110.0,False,False
268,268,CNN_69001.149 R6/2 grün_E_26146_,110.0,False,False
269,269,CNN_687_E_10353_9,110.0,False,True
270,270,CNN_69001.149 R6/2 grün_E_26146_,110.0,False,True
271,271,CNN_0503201747290000334400_E_917,110.0,False,False
272,272,CNN_168F_E_29689_10,110.0,False,True
273,273,CNN_28C_E_14727_5,110.0,False,True
274,274,CNN_1206172141070000325006_E_549,110.0,False,False
275,275,CNN_815_E_9670_4,110.0,False,False
276,276,CNN_122U_E_5493_19,110.0,False,False
277,277,CNN_118_E_22257_2,110.0,True,True
278,278,CNN_F102NS_E_5501_18,110.0,False,True
279,279,CNN__E_16310_1,110.0,False,False
280,280,CNN_835_E_28476_5,110.0,True,True
281,281,CNN_0504190925320189865236_E_212,110.0,False,False
282,282,CNN_685A_E_10357_2,110.0,False,True
283,283,CNN_31U1_E_14720_12,110.0,True,True
284,284,CNN_66001.48a O6/1 blau_E_19747_,110.0,False,False
285,285,CNN_19U_E_5494_13,110.0,False,True
286,286,CNN_12U1_E_6034_9,110.0,False,True
287,287,CNN_309G_E_19746_1,110.0,False,False
288,288,CNN_815_E_9670_10,110.0,False,True
289,289,CNN_428_E_27_7,110.0,False,False
290,290,CNN_118_E_22257_5,110.0,True,False
291,291,CNN_395A_J_7784_44,20.0,False,True
292,292,CNN_31U1_J_14576_9,20.0,True,False
293,293,CNN_F10R_C_18519_42,380.0,False,True
294,294,CNN_687_J_10046_39,20.0,True,True
295,295,CNN_182Z_E_8_20,110.0,True,True
296,296,CNN_340M_J_13434_69,20.0,True,True
297,297,CNN_630Z3_E_29040_1,110.0,False,False
298,298,CNN_625_E_1053_46,110.0,False,True
299,299,CNN_144G_E_138_4,110.0,False,False
300,300,CNN_122U_E_5493_35,110.0,False,True
301,301,CNN_279A_E_15559_5,110.0,False,False
302,302,CNN_114B_E_17614_4,110.0,True,True
303,303,CNN_640_E_3354_12,110.0,False,True
304,304,CNN_179U_E_9171_6,110.0,True,True
305,305,CNN_712_E_18556_4,110.0,True,True
306,306,CNN_113F_E_21808_14,110.0,False,True
307,307,CNN_685_J_10385_1,10.0,False,False
308,308,CNN_613A_E_5503_30,110.0,False,True
309,309,CNN_854_E_466_5,110.0,False,False
310,310,CNN_31U1_E_14720_4,110.0,True,False
311,311,CNN_173A_E_24_72,110.0,False,True
312,312,CNN_625_E_1053_10,110.0,False,False
313,313,CNN_490M_J_3330_6,6.0,False,True
314,314,CNN_179U_J_9143_11,20.0,False,False
315,315,CNN_62E_E_11932_13,110.0,False,True
316,316,CNN_385B_E_19_23,110.0,False,True
317,317,CNN_55U_E_12886_4,110.0,False,False
318,318,CNN_589U1_J_22079_21,10.0,False,True
319,319,CNN_648E_E_1054_3,110.0,False,True
320,320,CNN_0710281706480057084608_E_217,110.0,False,True
321,321,CNN_815_J_9669_45,20.0,False,True
322,322,CNN_69C_E_21248_17,110.0,False,True
323,323,CNN_630C2_J_29037_16,10.0,False,True
324,324,CNN_697Y_J_3300_44,20.0,False,True
325,325,CNN_113F_E_21808_10,110.0,False,False
326,326,CNN_687_E_10353_8,110.0,False,True
327,327,CNN_51503.18 D5/2 gelb_E_11930_1,110.0,False,False
328,328,CNN_711_E_9183_7,110.0,False,False
329,329,CNN_1511090741450437796338_E_119,110.0,False,False
330,330,CNN_28C_E_14727_10,110.0,False,True
331,331,CNN_48U_E_5535_1,110.0,False,False
332,332,CNN_118_E_22257_11,110.0,False,True
333,333,CNN_632_E_28482_13,110.0,False,True
334,334,CNN_613U_E_5509_7,110.0,False,False
335,335,CNN_589U1_E_5495_23,110.0,False,True
336,336,CNN_0505081724190551597592_C_185,380.0,False,False
337,337,CNN_1311302212320143293524_E_335,110.0,False,True
338,338,CNN_0504140855350945908735_E_284,110.0,False,False
339,339,CNN_0504201131020176515777_E_212,110.0,False,False
340,340,CNN_529N_J_29_43,20.0,True,True
341,341,CNN_685_E_10368_5,110.0,False,True
342,342,CNN_1403301322070756819756_E_135,110.0,False,False
343,343,CNN_57001.52 U5 rot_E_10369_3,110.0,False,False
344,344,CNN_0504190848360328552293_E_549,110.0,False,False
345,345,CNN_182_E_1060_1,110.0,False,False
346,346,CNN_625_E_1053_12,110.0,False,False
347,347,CNN_459B_J_3360_80,20.0,False,True
348,348,CNN_1011072033470690145302_E_276,110.0,False,True
349,349,CNN_613U_E_5509_26,110.0,False,True
350,350,CNN_428_E_27_27,110.0,False,True
351,351,CNN_697S_C_18536_1,380.0,False,False
352,352,CNN_1102021624450053130714_E_276,110.0,False,False
353,353,CNN_249K_E_3342_12,110.0,False,True
354,354,CNN_685A_E_10357_4,110.0,False,False
355,355,CNN_48U_E_5535_2,110.0,False,True
356,356,CNN_1005090927160046654720_E_203,110.0,False,False
357,357,CNN_64001.39 U6/2 blau_E_2758_1,110.0,False,False
358,358,CNN_685_J_10385_13,10.0,True,True
359,359,CNN_625W_E_10378_9,110.0,False,True
360,360,CNN_192_E_16_15,110.0,False,True
361,361,CNN_630F2_E_3309_9,110.0,False,False
362,362,CNN_113F_E_21808_3,110.0,False,True
363,363,CNN_613U_E_5509_19,110.0,False,True
364,364,CNN_69C_J_21253_14,10.0,False,True
365,365,CNN_0505101418510118996616_E_284,110.0,False,False
366,366,CNN_613U_E_5509_10,110.0,False,True
367,367,CNN_0505101434120077962788_E_284,110.0,False,True
368,368,CNN_0505101434120013620720_E_284,110.0,False,False
369,369,CNN_423E_J_22251_17,20.0,False,False
370,370,CNN_173A_E_24_61,110.0,False,True
371,371,CNN_57R_J_11928_45,20.0,True,True
372,372,CNN_55U_J_12896_18,3.0,False,True
373,373,CNN_4543.38 K11 blau_E_31057_3,110.0,False,False
374,374,CNN_0503251528580835993008_E_103,110.0,False,True
375,375,CNN_0504171603490065997010_E_218,110.0,False,False
376,376,CNN_48U_J_5538_1,20.0,False,False
377,377,CNN_60007.66/9 C6/2A gelb_E_6037,110.0,False,True
378,378,CNN_36W_E_11931_8,110.0,False,True
379,379,CNN_0504161417290138751327_E_203,110.0,False,False
380,380,CNN_630C2_J_29032_8,10.0,False,True
381,381,CNN_0805161413360569997183_E_193,110.0,False,False
382,382,CNN_144G_J_140_15,20.0,False,True
383,383,CNN_0504161613250000740601_E_330,110.0,False,False
384,384,CNN_19U_E_5494_3,110.0,False,True
385,385,CNN_UW-Westtirol_D_19819_10,220.0,False,True
386,386,CNN_62101.180/10 W6B blau_E_2646,110.0,False,False
387,387,CNN_332K_E_4053_2,110.0,False,False
388,388,CNN_0503201540000289486407_E_917,110.0,False,False
389,389,CNN_0504190848360328552293_E_549,110.0,False,False
390,390,CNN_F12R_C_18529_8,380.0,False,True
391,391,CNN_268O_E_26138_1,110.0,False,False
392,392,CNN_1102021624450196099325_E_276,110.0,False,False
393,393,CNN_1011072053110343234749_E_197,110.0,False,False
394,394,CNN_253Q_J_26130_8,6.0,False,True
395,395,CNN_613U_E_5509_36,110.0,False,True
396,396,CNN_0504220831140043061238_E_222,110.0,False,False
397,397,CNN_625_H_19826_1,30.0,False,False
398,398,CNN_309G_E_19746_5,110.0,False,False
399,399,CNN_265_E_11933_24,110.0,False,True
400,400,CNN_712_E_18556_42,110.0,True,True
401,401,CNN_625_C_18523_2,380.0,False,False
402,402,CNN_1111042223130364097958_E_284,110.0,False,False
403,403,CNN_36W_E_11931_3,110.0,True,True
404,404,CNN_645_J_1_16,3.0,True,True
405,405,CNN_0504190956290279787038_E_218,110.0,False,False
406,406,CNN_192_E_16_2,110.0,False,True
407,407,CNN_11611.32 A11 grün_E_19628_3,110.0,False,False
408,408,CNN_730_E_2750_1,110.0,False,False
409,409,CNN_0504131449550158397228_E_290,110.0,False,False
410,410,CNN_182Z_E_8_30,110.0,True,True
411,411,CNN_182Z_E_8_8,110.0,False,False
412,412,CNN_122S_E_22080_5,110.0,False,True
413,413,CNN_182Z_E_8_19,110.0,False,True
414,414,CNN_407H_E_11936_13,110.0,False,True
415,415,CNN_625_D_18527_10,220.0,False,True
416,416,CNN_1005091124510388900827_E_296,110.0,False,True
417,417,CNN_0505100928370177749468_E_334,110.0,False,False
418,418,CNN_F675B_J_29025_4,6.0,False,True
419,419,CNN_114B_E_17614_1,110.0,True,False
420,420,CNN_301N_J_3950_7,20.0,False,False
421,421,CNN_57R_E_11929_2,110.0,False,True
422,422,CNN_625_E_1053_39,110.0,False,True
423,423,CNN_0504141054130686827746_E_330,110.0,False,False
424,424,CNN_F12R_C_18529_6,380.0,False,True
425,425,CNN_173A_J_20930_55,20.0,True,True
426,426,CNN_0504190925320003861097_E_550,110.0,False,False
427,427,CNN_0503201540000118537055_E_918,110.0,False,False
428,428,CNN_F588S_J_5526_4,20.0,False,True
429,429,CNN_732_E_28451_16,110.0,False,True
430,430,CNN_0504211825170010820143_E_293,110.0,False,True
431,431,CNN_69101.128 W6 blau_E_26464_2,110.0,False,True
432,432,CNN_0504171015500013196403_E_275,110.0,False,False
433,433,CNN_0504200739130260985784_E_551,110.0,False,True
434,434,CNN_55U_J_12896_7,3.0,False,True
435,435,CNN_144G_J_140_73,20.0,False,True
436,436,CNN_62E_J_14179_12,20.0,False,False
437,437,CNN_630C2_J_29032_22,10.0,False,True
438,438,CNN_630Z3_E_29040_2,110.0,False,False
439,439,CNN_205B_E_1057_9,110.0,False,True
440,440,CNN_625_D_18527_4,220.0,False,False
441,441,CNN_625_E_1053_3,110.0,True,True
442,442,CNN_630C2_E_29031_5,110.0,False,False
443,443,CNN_67001.126 A11A grün_E_19633_,110.0,True,False
444,444,CNN_F9R_C_18522_24,380.0,False,True
445,445,CNN_724D_E_3324_1,110.0,False,False
446,446,CNN_712_E_18556_6,110.0,False,False
447,447,CNN_866_E_468_12,110.0,False,True
448,448,CNN_171D_E_22260_11,110.0,False,True
449,449,CNN_630F2_E_3309_18,110.0,True,True
450,450,CNN_630C2_E_29031_3,110.0,True,True
451,451,CNN_0710281702020036418877_E_218,110.0,False,False
452,452,CNN_835_J_28477_1,6.0,True,False
453,453,CNN_51004.82/6b W5/2 blau_E_1472,110.0,True,True
454,454,CNN_625_E_1053_5,110.0,True,False
455,455,CNN_0504232205420044642400_E_331,110.0,False,True
456,456,CNN_712_E_18556_39,110.0,True,True
457,457,CNN_0504061949450189436441_E_103,110.0,False,False
458,458,CNN_290F_E_16312_5,110.0,False,True
459,459,CNN_613U_H_18542_1,30.0,False,False
460,460,CNN_182Z_E_8_51,110.0,True,True
461,461,CNN_1206172141070161823552_E_550,110.0,False,False
462,462,CNN_459B_E_3358_12,110.0,False,True
463,463,CNN_1111042223130154665210_E_284,110.0,False,False
464,464,CNN_588_E_5520_10,110.0,False,False
465,465,CNN_729_J_28456_53,6.0,True,True
466,466,CNN_1206172312540211991248_E_163,110.0,False,True
467,467,CNN_253H_E_26118_1,110.0,True,False
468,468,CNN_613A_E_5503_21,110.0,False,True
469,469,CNN_0710281702020793538252_E_551,110.0,False,False
470,470,CNN_253Q_J_26130_1,6.0,False,False
471,471,CNN_0503201540000054143280_E_917,110.0,False,True
472,472,CNN_589W1_J_22078_1,10.0,False,False
473,473,CNN_0504140857120169891001_E_284,110.0,False,True
474,474,CNN_0505100937040125940094_E_334,110.0,False,True
475,475,CNN_0505091525540154314616_E_261,110.0,False,False
476,476,CNN_631B_E_3_5,110.0,False,True
477,477,CNN_712_E_18556_10,110.0,True,True
478,478,CNN_F9R_C_18522_42,380.0,False,True
479,479,CNN_0503251419100382752457_E_104,110.0,False,False
480,480,CNN_402D_E_16302_2,110.0,False,True
481,481,CNN_630C2_E_29031_17,110.0,False,True
482,482,CNN_F8R_C_18521_7,380.0,False,False
483,483,CNN_0710281702020036418877_E_218,110.0,False,True
484,484,CNN_249K_E_3342_10,110.0,False,True
485,485,CNN_588_E_5520_24,110.0,False,True
486,486,CNN_339H_J_3336_1,6.0,False,False
487,487,CNN_F9R_C_18522_29,380.0,False,True
488,488,CNN_542Q2_E_26141_4,110.0,False,False
489,489,CNN_1005090927160046654720_E_203,110.0,False,False
490,490,CNN_F8R_C_18521_10,380.0,False,False
491,491,CNN_630F2_E_3309_16,110.0,False,True
492,492,CNN_732_E_28451_13,110.0,False,True
493,493,CNN_0505101434120013620720_E_284,110.0,False,False
494,494,CNN_625_D_18527_9,220.0,False,True
495,495,CNN_UW-Westtirol_D_19819_11,220.0,False,True
496,496,CNN_113F_E_21808_12,110.0,True,False
497,497,CNN_113F_J_21810_14,3.0,False,True
498,498,CNN_589U1_J_5434_88,20.0,False,True
499,499,CNN_0504211825170010820143_E_293,110.0,False,False
500,500,CNN_182Z_E_8_31,110.0,False,True
501,501,CNN_613A_E_5503_8,110.0,False,True
502,502,CNN_F10R_C_18519_14,380.0,False,True
503,503,CNN_0504220831140043061238_E_222,110.0,False,True
504,504,CNN_171D_E_22260_3,110.0,False,True
505,505,CNN_0503251419100382752457_E_104,110.0,False,False
506,506,CNN_625W_E_10378_13,110.0,False,True
507,507,CNN_UW-Westtirol_D_19819_2,220.0,True,True
508,508,CNN_62001.63b Z6 blau_E_22255_3,110.0,False,False
509,509,CNN_389A_J_2770_87,20.0,True,True
