pp_idx,ppci_idx,name,vn_kv
268,47,CNN_69001.149 R6/2 grün_E_26146_,110.0
2661,47,CNN_69001.149 R6/2 grün_E_26146_,110.0
279,48,CNN__E_16310_1,110.0
281,49,CNN_0504190925320189865236_E_212,110.0
1212,49,CNN_0504190925320189865236_E_212,110.0
1607,49,CNN_0504190925320189865236_E_212,110.0
2415,50,CNN_815_E_9670_6,110.0
2720,50,CNN_815_E_9670_3,110.0
2118,50,CNN_815_E_9670_8,110.0
3327,50,CNN_815_E_9670_1,110.0
680,50,CNN_815_E_9670_7,110.0
288,50,CNN_815_E_9670_10,110.0
3439,50,CNN_815_E_9670_9,110.0
1983,50,CNN_815_E_9670_5,110.0
275,50,CNN_815_E_9670_4,110.0
2059,51,CNN_428_E_27_28,110.0
1599,51,CNN_428_E_27_18,110.0
1356,51,CNN_428_E_27_8,110.0
3314,51,CNN_428_E_27_16,110.0
575,51,CNN_428_E_27_32,110.0
38,51,CNN_428_E_27_22,110.0
1801,51,CNN_428_E_27_9,110.0
596,51,CNN_428_E_27_2,110.0
2000,51,CNN_428_E_27_12,110.0
3184,51,CNN_428_E_27_24,110.0
289,51,CNN_428_E_27_7,110.0
350,51,CNN_428_E_27_27,110.0
291,52,CNN_395A_J_7784_44,20.0
3279,52,CNN_395A_J_7784_9,20.0
1561,53,CNN_0710281706480057084608_E_217,110.0
320,53,CNN_0710281706480057084608_E_217,110.0
16,53,CNN_0710281706480057084608_E_217,110.0
638,54,CNN_815_J_9669_39,20.0
321,54,CNN_815_J_9669_45,20.0
3196,54,CNN_815_J_9669_11,20.0
1790,55,CNN_630C2_J_29037_6,10.0
323,55,CNN_630C2_J_29037_16,10.0
1047,55,CNN_630C2_J_29037_1,10.0
324,56,CNN_697Y_J_3300_44,20.0
2519,56,CNN_697Y_J_3300_13,20.0
329,57,CNN_1511090741450437796338_E_119,110.0
2012,57,CNN_1511090741450437796338_E_119,110.0
1898,57,CNN_1511090741450437796338_E_119,110.0
1941,57,CNN_1511090741450437796338_E_119,110.0
3231,58,CNN_28C_E_14727_3,110.0
182,58,CNN_28C_E_14727_12,110.0
2815,58,CNN_28C_E_14727_4,110.0
273,58,CNN_28C_E_14727_5,110.0
218,58,CNN_28C_E_14727_11,110.0
330,58,CNN_28C_E_14727_10,110.0
1625,58,CNN_28C_E_14727_2,110.0
3118,58,CNN_28C_E_14727_7,110.0
336,59,CNN_0505081724190551597592_C_185,380.0
1887,59,CNN_0505081724190551597592_C_185,380.0
3046,59,CNN_0505081724190551597592_C_185,380.0
267,60,CNN_1311302212320143293524_E_335,110.0
337,60,CNN_1311302212320143293524_E_335,110.0
1134,60,CNN_1311302212320143293524_E_335,110.0
